Tempo (s);Soma de CPU (m);Média de CPU (m);DesvPad de CPU (m);Média de CPU;DesvPad de CPU;Soma de MEMORY (bytes);Média de MEMORY (bytes);DesvPad de MEMORY (bytes);Média de MEMORY;DesvPad de MEMORY
0;108931;205.5301887;274.8110333;6.68;1.70;710495;1340.556604;454.4397635;31.51;8.39
5;109379;206.3754717;270.8953588;6.70;1.89;710386;1340.350943;453.3527542;31.51;8.39
10;107760;203.3207547;251.252791;6.64;1.88;710387;1340.35283;453.3329773;31.51;8.39
15;107760;203.3207547;251.252791;6.64;1.88;710387;1340.35283;453.3329773;31.51;8.39
20;108461;204.6433962;256.4035527;6.68;2.40;710659;1340.866038;455.5828969;31.51;8.39
25;108461;204.6433962;256.4035527;6.68;2.40;710659;1340.866038;455.5828969;31.51;8.39
30;107727;203.2584906;256.3527136;6.63;2.40;710644;1340.837736;455.5988478;31.51;8.39
35;110033;207.609434;277.2543282;6.68;2.42;710750;1341.037736;456.2032207;31.51;8.39
40;109130;205.9056604;267.5321484;6.68;2.54;710801;1341.133962;456.1840604;31.51;8.39
45;109811;207.190566;292.8290008;6.64;2.56;710865;1341.254717;456.4492088;31.51;8.39
50;109811;207.190566;292.8290008;6.64;2.56;710865;1341.254717;456.4492088;31.51;8.39
55;137335;259.1226415;783.4682683;7.71;5.79;711427;1342.315094;457.8112562;31.52;8.39
60;137335;259.1226415;783.4682683;7.71;5.79;711427;1342.315094;457.8112562;31.52;8.39
65;209674;395.6113208;1417.701276;11.07;10.65;712971;1345.228302;466.4771391;31.55;8.39
70;251190;473.9433962;1721.717732;13.18;12.59;714183;1347.515094;477.5572935;31.58;8.39
75;251190;473.9433962;1721.717732;13.18;12.59;714183;1347.515094;477.5572935;31.58;8.39
80;298709;563.6018868;1982.654325;15.65;14.03;715296;1349.615094;487.0231621;31.60;8.38
85;345969;652.7716981;2222.580638;18.19;14.97;716598;1352.071698;498.7237232;31.63;8.38
90;374938;707.4301887;2220.639102;20.63;15.08;718644;1355.932075;521.3528888;31.65;8.37
95;479691;905.0773585;2619.39242;26.17;14.53;721449;1361.224528;537.6592449;31.71;8.35
100;479691;905.0773585;2619.39242;26.17;14.53;721449;1361.224528;537.6592449;31.71;8.35
105;503412;949.8339623;2759.960252;27.62;14.39;721814;1361.913208;538.8936086;31.71;8.35
110;514226;970.2377358;2821.739648;28.34;14.27;722719;1363.620755;549.693726;31.72;8.34
115;523790;988.2830189;2892.755545;28.96;14.12;723024;1364.196226;552.951164;31.72;8.34
120;520005;981.1415094;2904.737057;28.62;14.43;724129;1366.281132;568.9302054;31.72;8.33
125;511993;966.0245283;2901.976701;27.91;14.72;726269;1370.318868;603.0372576;31.72;8.31
130;511993;966.0245283;2901.976701;27.91;14.72;726269;1370.318868;603.0372576;31.72;8.31
135;516356;974.2566038;3054.44611;26.72;15.58;728764;1375.026415;648.2488869;31.72;8.28
140;516356;974.2566038;3054.44611;26.72;15.58;728764;1375.026415;648.2488869;31.72;8.28
145;503713;950.4018868;3052.772448;25.55;15.92;731774;1380.70566;693.309752;31.73;8.26
150;523334;987.4226415;3197.103011;26.18;16.19;737656;1391.803774;752.6828758;31.76;8.20
155;523334;987.4226415;3197.103011;26.18;16.19;737656;1391.803774;752.6828758;31.76;8.20
160;497497;938.6735849;3152.792889;24.12;16.67;751917;1418.711321;963.3921705;31.81;8.09
165;497497;938.6735849;3152.792889;24.12;16.67;751917;1418.711321;963.3921705;31.81;8.09
170;474263;894.8358491;3127.87124;22.27;17.08;772728;1457.977358;1247.476203;31.88;7.96
175;464331;876.0962264;3128.656973;21.44;17.09;780089;1471.866038;1336.153184;31.91;7.91
180;455194;858.8566038;3113.465562;20.72;17.08;789058;1488.788679;1461.499474;31.95;7.88
185;455194;858.8566038;3113.465562;20.72;17.08;789058;1488.788679;1461.499474;31.95;7.88
190;455194;858.8566038;3113.465562;20.72;17.08;789058;1488.788679;1461.499474;31.95;7.88
195;445678;840.9018868;3076.371033;20.07;16.98;798536;1506.671698;1597.686734;31.98;7.85
200;413012;779.2679245;2959.360532;17.98;16.46;816510;1540.584906;1791.747106;32.04;7.76
205;395837;746.8622642;2838.891532;17.30;16.05;824176;1555.049057;1872.21575;32.08;7.73
210;395837;746.8622642;2838.891532;17.30;16.05;824176;1555.049057;1872.21575;32.08;7.73
215;364377;687.5037736;2684.633559;15.72;15.35;827788;1561.864151;1919.599131;32.10;7.72
220;332903;628.1188679;2487.951625;14.65;14.63;835060;1575.584906;1994.357306;32.13;7.70
225;267682;505.0603774;2086.779348;12.00;12.46;851478;1606.562264;2225.419888;32.24;7.75
230;236783;446.7603774;1830.782433;10.76;11.03;865424;1632.875472;2420.760555;32.32;7.82
235;236783;446.7603774;1830.782433;10.76;11.03;865424;1632.875472;2420.760555;32.32;7.82
240;207723;391.9301887;1569.24805;9.67;9.59;876991;1654.7;2576.742252;32.42;7.89
245;207723;391.9301887;1569.24805;9.67;9.59;876991;1654.7;2576.742252;32.42;7.89
250;190739;359.8849057;1351.575787;9.27;8.62;889730;1678.735849;2738.160956;32.58;8.01
255;158682;299.4;922.1146745;7.86;5.57;907207;1711.711321;2933.674793;32.73;8.10
260;152040;286.8679245;809.2231014;7.67;4.56;920750;1737.264151;3066.566565;32.91;8.19
265;152040;286.8679245;809.2231014;7.67;4.56;920750;1737.264151;3066.566565;32.91;8.19
270;152418;287.5811321;799.9256428;7.75;4.54;932467;1759.371698;3199.576323;33.00;8.26
275;159092;300.1735849;875.9513888;7.85;4.43;945029;1783.073585;3318.219518;33.15;8.33
280;166715;314.5566038;931.1829;8.02;4.49;953856;1799.728302;3401.69091;33.26;8.39
285;182030;343.4528302;1070.267114;8.42;4.92;961506;1814.162264;3471.785976;33.41;8.44
290;182030;343.4528302;1070.267114;8.42;4.92;961506;1814.162264;3471.785976;33.41;8.44
295;189754;358.0264151;1129.117865;8.67;5.44;964932;1820.626415;3500.047864;33.48;8.47
300;189754;358.0264151;1129.117865;8.67;5.44;964932;1820.626415;3500.047864;33.48;8.47
305;198424;374.3849057;1241.181413;8.85;5.80;966916;1824.369811;3514.684302;33.54;8.49
310;194350;366.6981132;1188.21827;8.75;5.26;978305;1845.858491;3620.978143;33.69;8.57
315;200713;378.7037736;1264.576977;8.88;5.52;981008;1850.958491;3640.155557;33.76;8.61
320;208792;393.9471698;1348.788894;9.04;5.83;982208;1853.222642;3647.395711;33.79;8.61
325;208792;393.9471698;1348.788894;9.04;5.83;982208;1853.222642;3647.395711;33.79;8.61
