Rótulos de Linha;cu Média de CPU(milicores);du Média de CPU(milicores);ru Média de CPU(milicores);cu DesvPad de CPU(milicores);du DesvPad de CPU(milicores);ru DesvPad de CPU(milicores);cu Média de MEMORY(Mi);du Média de MEMORY(Mi);ru Média de MEMORY(Mi);cu DesvPad de MEMORY(Mi);du DesvPad de MEMORY(Mi);ru DesvPad de MEMORY(Mi);Total Média de CPU(milicores);Total DesvPad de CPU(milicores);Total Média de MEMORY(Mi);Total DesvPad de MEMORY(Mi)
100;292.6871795;287.5317073;333.4696262;196.8060157;195.9700988;236.4896807;8.569230769;8.165853659;4.285046729;3.149059248;3.410164288;1.934055875;312.4915459;218.8850911;6.254830918;3.361930456
105;278.5964912;278.8043478;369.8724832;188.2558817;184.7497091;219.6837195;8.719298246;7.97826087;4.496644295;8.234459422;3.535775552;1.860460046;323.7325967;208.412747;6.445303867;5.067633559
110;258.9492188;244.2557252;397.1828194;179.5579577;181.6766091;201.8020243;10.953125;7.572519084;4.656387665;18.73169041;3.737621786;1.766999724;319.5545267;204.0925612;7.100823045;10.20410245
115;232.1666667;220.7724359;445.7717391;152.9380299;155.2031222;152.9678582;13.2875817;7.282051282;4.865217391;24.59526096;3.615427593;1.607202931;320.0176252;188.0228869;7.955473098;13.72862947
120;209.5028249;205.7727273;456.2152174;144.6308038;143.4922575;135.6645525;14.88983051;7.3125;4.845652174;28.02925947;3.357020538;1.61827883;305.7075472;185.9230476;8.639794168;16.14203888
125;199.2142857;195.7081218;447.8891304;133.6601791;134.4991977;144.4104486;18.81377551;7.230964467;4.697826087;33.74795269;3.185519972;1.759504427;289.9117175;183.3819161;9.939807384;19.98249205
130;193.5644028;189.9386792;447.8891304;134.4909633;135.3194313;144.4104486;17.73770492;7.122641509;4.697826087;32.54677468;3.222858166;1.759504427;281.6285278;184.5459667;9.72921434;19.51677437
135;191.169265;189.9731544;423.1456522;138.4119042;140.5345471;171.5054528;24.70155902;7.890380313;4.439130435;40.35827299;16.43983655;1.909325613;269.4690265;186.9022787;12.28613569;26.5908313
140;190.3215078;189.1269488;423.1456522;138.6881905;140.7912887;171.5054528;24.6075388;7.855233853;4.439130435;40.29385215;16.41153165;1.909325613;268.6764706;187.1970658;12.25514706;26.55831276
145;193.3692308;191.7758242;400.1152174;141.9101283;145.2953026;190.9948208;30.66813187;11.71868132;4.223913043;45.04072772;39.2000964;2.025941217;262.2583942;188.4788412;15.49562044;36.16186395
150;210.5922747;209.7948718;396.4714286;143.915481;148.9101184;191.0690199;36.24248927;14.6965812;4.132653061;48.30515898;49.60872416;2.043683246;274.2914326;185.5472051;18.11235955;41.83731856
155;209.8933902;208.9021277;396.4714286;144.1755123;149.2198297;191.0690199;36.06396588;14.65106383;4.132653061;48.20159059;49.50843168;2.043683246;273.5444367;185.7902691;18.07207838;41.77000834
160;216.7674419;220.1915789;355.8897959;151.3623474;153.2832075;216.8265921;42.78012685;36.85052632;3.785714286;51.50314976;96.05451146;2.123247503;265.3045897;188.4676415;27.5340751;64.91304515
165;212.573499;223.375;331.0510204;162.7163236;163.0947859;227.8461152;47.45134576;46.21041667;3.593877551;53.43673513;108.3414897;2.123094181;256.0963524;194.7498192;32.2512044;72.38806934
170;210.0717213;220.5368852;313.2346939;176.1879625;176.8976046;233.8819464;52.10245902;65.1557377;3.457142857;54.72298874;128.1373122;2.117991872;248.0368349;202.8148334;40.18826739;84.62434976
175;208.1918367;221.1816327;293.5061224;183.9834724;183.8316272;239.5823756;54.87959184;78.22244898;3.3;55.30709758;138.568719;2.104090864;240.9598639;207.4466717;45.46734694;91.60759216
180;206.4204082;220.4632653;276.7102041;196.2667387;195.2795062;242.5975605;57.67346939;95.03673469;3.189795918;55.77063302;149.2672446;2.093591829;234.5312925;214.5482693;51.96666667;99.38237235
185;206.4204082;220.4632653;276.7102041;196.2667387;195.2795062;242.5975605;57.67346939;95.03673469;3.189795918;55.77063302;149.2672446;2.093591829;234.5312925;214.5482693;51.96666667;99.38237235
190;206.4204082;220.4632653;276.7102041;196.2667387;195.2795062;242.5975605;57.67346939;95.03673469;3.189795918;55.77063302;149.2672446;2.093591829;234.5312925;214.5482693;51.96666667;99.38237235
195;202.1693878;213.9714286;265.1408163;199.5422212;198.8760731;243.3128095;59.5244898;113.9918367;3.087755102;55.99306498;158.2746698;2.100358588;227.0938776;216.5054109;58.86802721;106.9373903
200;199.8102041;209.4632653;227.955102;207.5429211;206.0377089;241.2873577;69.62653061;134.5102041;2.716326531;55.65961875;164.6742614;2.000802185;212.4095238;219.0577188;68.95102041;113.8271727
205;190.1938776;200.0938776;215.3040816;208.9664437;205.8060103;241.3628639;73.00408163;149.544898;2.630612245;55.21510255;167.6924558;1.971235283;201.8639456;219.3952806;75.05986395;118.2321237
210;190.1938776;200.0938776;215.3040816;208.9664437;205.8060103;241.3628639;73.00408163;149.544898;2.630612245;55.21510255;167.6924558;1.971235283;201.8639456;219.3952806;75.05986395;118.2321237
215;154.1040816;163.0102041;171.1755102;206.9885235;207.0353938;228.1725969;87.16734694;160.0591837;2.848979592;51.09665002;170.1316781;6.802625574;162.7632653;214.2653915;83.3585034;121.0325276
220;154.1040816;163.0102041;171.1755102;206.9885235;207.0353938;228.1725969;87.16734694;160.0591837;2.848979592;51.09665002;170.1316781;6.802625574;162.7632653;214.2653915;83.3585034;121.0325276
225;116.0204082;119.2795918;124.1979592;189.3859294;188.9994141;204.6882202;97.21632653;175.2693878;4.026530612;45.36705717;172.575027;12.53939845;119.8326531;194.391776;92.1707483;124.7186627
