Rótulos de Linha;Média de CPU(Millicores);DesvPad de CPU(Millicores);Média de Memory(MiBytes);DesvPad de Memory(MiBytes)
1;175.3786408;160.7977743;211.1359223;176.4866912
2;53.61165049;155.1083892;108.1456311;34.45042126
3;118.005848;161.848287;159.9152047;155.1287663
4;131.415625;167.4254967;170.734375;154.4023407
5;133.7734628;168.5276206;175.2556634;153.586314
6;133.1229773;166.856686;175.2135922;153.7382865
7;136.0970874;169.3119296;175.3300971;153.6700202
8;136.5760518;170.9958937;162.9320388;153.1964359
9;135.7184466;168.031851;175.1779935;153.7410034
10;129.1941748;165.5086841;162.7864078;153.2229288
11;123.9967638;161.4677504;162.9417476;153.2474545
12;122.8381877;158.7571648;162.9385113;153.1640517
13;141.3106796;167.8056058;162.8187702;153.1981555
14;131.2038835;166.7524816;162.8964401;153.2326629
15;124.4822006;162.0590436;162.3462783;153.2690312
16;118.6084142;159.9151928;162.236246;153.3831438
17;120.1035599;161.9568514;174.8964401;154.2487522
18;122.4951456;163.0355833;162.2750809;153.3416271
19;125.1456311;163.3103019;161.776699;152.3380937
20;122.0679612;163.6792434;161.776699;152.3570822
21;116.368932;160.3834887;162.3462783;153.2690312
22;124.5145631;165.1749288;162.3462783;153.2690312
23;119.2977346;160.9189177;162.3462783;153.2692643
24;124.8867314;166.2054064;158.8576052;154.5762718
25;133.1391586;160.4655263;162.381877;153.232941
26;127.3786408;164.4477249;162.3462783;153.2690312
27;118.9029126;159.7412182;162.3106796;153.3053376
28;142.5372168;173.061216;162.3462783;153.2690312
29;130.4530744;163.8544707;162.3462783;153.2690312
30;148.8640777;169.9157955;162.381877;153.232941
31;142.0582524;174.6836004;158.394822;155.7801047
32;140.3398058;176.097646;161.776699;152.3380937
33;120.0420712;160.9082022;162.3462783;153.2690312
34;138.6116505;175.5382945;158.394822;155.7798754
35;139.9126214;175.1509056;162.5242718;153.0849126
36;132.6343042;173.7316343;160.6245955;152.9065632
37;144.5048544;175.6113555;158.4660194;155.7285443
38;142.2524272;176.2065854;162.4886731;153.1213042
39;130.3559871;164.402725;162.381877;153.232941
40;118.3106796;160.0904389;161.776699;152.3380937
41;141.3365696;163.4137347;161.776699;152.3380937
42;116.9546926;164.3017631;161.8122977;152.3019164
43;140.2912621;176.3139705;156.9352751;151.7488388
44;63.55016181;152.4882843;133.0776699;123.4739593
45;115.8673139;165.1689175;161.8122977;152.3204405
46;130.0355987;174.2608938;161.1003236;152.748944
47;148.815534;176.8566123;156.8996764;151.588107
48;134.7734628;164.9687115;161.7411003;152.3744884
49;150.6375405;187.770354;153.0194175;153.9182179
50;145.5825243;175.6134068;156.9708738;151.5172051
51;129.8560421;167.6206129;162.5590385;152.6588217
