Time(s);Média de Latency(ms);DesvPad de Latency(ms)
1;33.37708333;37.61085877
2;21.39791667;4.748369914
3;21.9125;23.96947194
4;22.32708333;15.61285258
5;23.65625;30.84366831
6;22.29791667;12.96762728
7;19.92916667;6.965598089
8;32.03125;61.00109576
9;20.35208333;6.649971671
10;19.98958333;5.642100091
11;19.85625;6.295925945
12;25.04375;42.9124785
13;31.0625;52.10890652
14;18.2625;5.034418769
15;20.17083333;6.964620572
16;19.64583333;6.257385707
17;19.38333333;6.509676376
18;19.41041667;5.453799752
19;25.975;43.28270993
20;19.21041667;5.255118663
21;25.25416667;43.99721441
22;18.84166667;6.747035072
23;19.27916667;6.1234102
24;19.28958333;5.565747817
25;19.17708333;4.948425049
26;18.95416667;5.534301483
27;20.26458333;12.12641726
28;21.325;30.24332175
29;22.17708333;17.8683631
30;28.02708333;46.24605671
31;22.43333333;22.5300965
32;19.60833333;5.819550079
33;20.075;5.203824289
34;19.69166667;12.87653041
35;18.58958333;9.917065446
36;19.26041667;6.095751558
37;21.08958333;12.05005941
38;21.31875;6.193086614
39;19.37916667;4.914890892
40;21.59166667;14.0683413
41;19.12083333;5.432289527
42;17.37291667;4.732312627
43;20.08125;9.480117071
44;26.07916667;43.57419185
45;30.18958333;45.4049732
46;29.94791667;50.24769706
47;25.08125;35.9230718
48;25.08333333;37.00485496
49;21.91041667;8.922103549
50;27.98958333;44.5151193
51;30.93333333;50.44980372
52;19.28125;4.898052425
53;27.19583333;46.57736624
54;19.92708333;7.972605746
55;18.27708333;5.783036072
56;25.18958333;42.0924577
57;19.40833333;5.855088107
58;18.65625;5.320010648
59;25.27708333;43.11159315
60;20.14375;10.78736271
