TIME (s);K8S CPU (Millicores);OAI CPU (Millicores);OPERATOR CPU (Millicores);K8S MEMORY (MiBytes);OAI MEMORY (MiBytes);OPERATOR MEMORY (MiBytes)
0;438;635;4;2268;157;94
5;438;635;4;2268;157;94
10;438;635;4;2268;157;94
15;496;603;5;2259;157;94
20;496;603;5;2259;157;94
25;496;603;5;2259;157;94
30;496;603;5;2259;157;94
35;496;603;5;2259;157;94
40;496;603;5;2259;157;94
45;496;603;5;2259;157;94
50;496;603;5;2259;157;94
55;496;603;5;2259;157;94
60;496;603;5;2259;157;94
65;496;603;5;2259;157;94
70;432;6643;4;2278;277;94
75;432;6643;4;2278;277;94
80;432;6643;4;2278;277;94
85;432;6643;4;2278;277;94
90;432;6643;4;2278;277;94
95;432;6643;4;2278;277;94
100;432;6643;4;2278;277;94
105;432;6643;4;2278;277;94
110;432;6643;4;2278;277;94
115;432;6643;4;2278;277;94
120;432;6643;4;2278;277;94
125;432;6643;4;2278;277;94
130;436;3218;5;2259;339;94
135;436;3218;5;2259;339;94
140;436;3218;5;2259;339;94
145;436;3218;5;2259;339;94
150;436;3218;5;2259;339;94
155;436;3218;5;2259;339;94
160;436;3218;5;2259;339;94
165;436;3218;5;2259;339;94
170;436;3218;5;2259;339;94
175;436;3218;5;2259;339;94
180;436;3218;5;2259;339;94
185;445;658;4;2258;2052;94
190;445;658;4;2258;2052;94
195;445;658;4;2258;2052;94
200;445;658;4;2258;2052;94
205;445;658;4;2258;2052;94
210;445;658;4;2258;2052;94
215;445;658;4;2258;2052;94
220;445;658;4;2258;2052;94
225;445;658;4;2258;2052;94
230;445;658;4;2258;2052;94
235;445;658;4;2258;2052;94
240;445;658;4;2258;2052;94
245;428;1058;5;2255;2485;94
250;428;1058;5;2255;2485;94
255;428;1058;5;2255;2485;94
260;428;1058;5;2255;2485;94
265;428;1058;5;2255;2485;94
270;428;1058;5;2255;2485;94
275;428;1058;5;2255;2485;94
280;428;1058;5;2255;2485;94
285;428;1058;5;2255;2485;94
290;428;1058;5;2255;2485;94
295;428;1058;5;2255;2485;94
300;425;1898;5;2257;2674;94
305;425;1898;5;2257;2674;94
310;425;1898;5;2257;2674;94
315;425;1898;5;2257;2674;94
320;425;1898;5;2257;2674;94
325;425;1898;5;2257;2674;94
330;425;1898;5;2257;2674;94
335;425;1898;5;2257;2674;94
340;425;1898;5;2257;2674;94
345;425;1898;5;2257;2674;94
350;425;1898;5;2257;2674;94
355;425;1898;5;2257;2674;94
360;451;1986;6;2258;2678;94
365;451;1986;6;2258;2678;94
370;451;1986;6;2258;2678;94
375;451;1986;6;2258;2678;94
380;451;1986;6;2258;2678;94
385;451;1986;6;2258;2678;94
390;451;1986;6;2258;2678;94
395;451;1986;6;2258;2678;94
400;451;1986;6;2258;2678;94
405;451;1986;6;2258;2678;94
410;451;1986;6;2258;2678;94
415;435;1972;4;2264;2678;94
420;435;1972;4;2264;2678;94
425;435;1972;4;2264;2678;94
430;435;1972;4;2264;2678;94
435;435;1972;4;2264;2678;94
440;435;1972;4;2264;2678;94
445;435;1972;4;2264;2678;94
450;435;1972;4;2264;2678;94
