Time (s);CU CPU (Millicores);CU MEMORY (MiBytes);DU CPU (Millicores);DU MEMORY (MiBytes);K8S CPU (Millicores);K8S MEMORY (MiBytes);OPERATOR CPU (Millicores);OPERATOR MEMORY (MiBytes);RU CPU (Millicores);RU MEMORY (MiBytes)
0;;;;;1073;2425;4;94;;
5;;;;;1073;2425;4;94;;
10;;;;;1073;2425;4;94;;
15;;;;;1099;2416;5;94;;
20;;;;;1099;2416;5;94;;
25;;;;;1099;2416;5;94;;
30;;;;;1099;2416;5;94;;
35;;;;;1099;2416;5;94;;
40;;;;;1099;2416;5;94;;
45;;;;;1099;2416;5;94;;
50;;;;;1099;2416;5;94;;
55;;;;;1099;2416;5;94;;
60;;;;;1099;2416;5;94;;
65;;;;;1099;2416;5;94;;
70;2002;39;1999;39;1072;2435;4;94;2002;42
75;2002;39;1999;39;1072;2435;4;94;2002;42
80;2002;39;1999;39;1072;2435;4;94;2002;42
85;2002;39;1999;39;1072;2435;4;94;2002;42
90;2002;39;1999;39;1072;2435;4;94;2002;42
95;2002;39;1999;39;1072;2435;4;94;2002;42
100;2002;39;1999;39;1072;2435;4;94;2002;42
105;2002;39;1999;39;1072;2435;4;94;2002;42
110;2002;39;1999;39;1072;2435;4;94;2002;42
115;2002;39;1999;39;1072;2435;4;94;2002;42
120;2002;39;1999;39;1072;2435;4;94;2002;42
125;2002;39;1999;39;1072;2435;4;94;2002;42
130;1639;147;305;16;1077;2416;5;94;633;19
135;1639;147;305;16;1077;2416;5;94;633;19
140;1639;147;305;16;1077;2416;5;94;633;19
145;1639;147;305;16;1077;2416;5;94;633;19
150;1639;147;305;16;1077;2416;5;94;633;19
155;1639;147;305;16;1077;2416;5;94;633;19
160;1639;147;305;16;1077;2416;5;94;633;19
165;1639;147;305;16;1077;2416;5;94;633;19
170;1639;147;305;16;1077;2416;5;94;633;19
175;1639;147;305;16;1077;2416;5;94;633;19
180;1639;147;305;16;1077;2416;5;94;633;19
185;0;480;4;1396;1099;2415;4;94;0;19
190;0;480;4;1396;1099;2415;4;94;0;19
195;0;480;4;1396;1099;2415;4;94;0;19
200;0;480;4;1396;1099;2415;4;94;0;19
205;0;480;4;1396;1099;2415;4;94;0;19
210;0;480;4;1396;1099;2415;4;94;0;19
215;0;480;4;1396;1099;2415;4;94;0;19
220;0;480;4;1396;1099;2415;4;94;0;19
225;0;480;4;1396;1099;2415;4;94;0;19
230;0;480;4;1396;1099;2415;4;94;0;19
235;0;480;4;1396;1099;2415;4;94;0;19
240;0;480;4;1396;1099;2415;4;94;0;19
245;1;480;299;1580;1083;2412;5;94;103;268
250;1;480;299;1580;1083;2412;5;94;103;268
255;1;480;299;1580;1083;2412;5;94;103;268
260;1;480;299;1580;1083;2412;5;94;103;268
265;1;480;299;1580;1083;2412;5;94;103;268
270;1;480;299;1580;1083;2412;5;94;103;268
275;1;480;299;1580;1083;2412;5;94;103;268
280;1;480;299;1580;1083;2412;5;94;103;268
285;1;480;299;1580;1083;2412;5;94;103;268
290;1;480;299;1580;1083;2412;5;94;103;268
295;1;480;299;1580;1083;2412;5;94;103;268
300;0;480;1026;1685;1036;2414;5;94;261;352
305;0;480;1026;1685;1036;2414;5;94;261;352
310;0;480;1026;1685;1036;2414;5;94;261;352
315;0;480;1026;1685;1036;2414;5;94;261;352
320;0;480;1026;1685;1036;2414;5;94;261;352
325;0;480;1026;1685;1036;2414;5;94;261;352
330;0;480;1026;1685;1036;2414;5;94;261;352
335;0;480;1026;1685;1036;2414;5;94;261;352
340;0;480;1026;1685;1036;2414;5;94;261;352
345;0;480;1026;1685;1036;2414;5;94;261;352
350;0;480;1026;1685;1036;2414;5;94;261;352
355;0;480;1026;1685;1036;2414;5;94;261;352
360;3;481;1068;1688;1080;2415;6;94;286;352
365;3;481;1068;1688;1080;2415;6;94;286;352
370;3;481;1068;1688;1080;2415;6;94;286;352
375;3;481;1068;1688;1080;2415;6;94;286;352
380;3;481;1068;1688;1080;2415;6;94;286;352
385;3;481;1068;1688;1080;2415;6;94;286;352
390;3;481;1068;1688;1080;2415;6;94;286;352
395;3;481;1068;1688;1080;2415;6;94;286;352
400;3;481;1068;1688;1080;2415;6;94;286;352
405;3;481;1068;1688;1080;2415;6;94;286;352
410;3;481;1068;1688;1080;2415;6;94;286;352
415;4;480;1042;1688;1095;2421;4;94;266;353
420;4;480;1042;1688;1095;2421;4;94;266;353
425;4;480;1042;1688;1095;2421;4;94;266;353
430;4;480;1042;1688;1095;2421;4;94;266;353
435;4;480;1042;1688;1095;2421;4;94;266;353
440;4;480;1042;1688;1095;2421;4;94;266;353
445;4;480;1042;1688;1095;2421;4;94;266;353
450;4;480;1042;1688;1095;2421;4;94;266;353
