Rótulos de Linha;Média de CPU%;DesvPad de CPU%;Média de CPU (m);Máx. de CPU (m);Média de MEMORY%;DesvPad de MEMORY%;Média de MEMORY(bytes);Máx. de MEMORY(bytes)
1;21.47;33.87;5226.332597;26762;16.08;21.79;7757.978453;28258
2;47.82;36.39;11501.53923;24011;36.95;26.08;17817.12486;31091
3;5.87;3.05;510.6839779;2202;27.65;0.48;2143.116022;2188
4;3.33;2.03;299.3320442;756;23.59;0.49;1820.681768;1862
5;3.37;1.83;314.6033149;779;24.67;0.47;1937.477901;1972
6;3.47;2.07;316.9745856;836;25.36;0.62;1946.083978;2004
7;12.55;7.78;247.0751381;764;42.32;0.97;1529.442541;1575
8;12.73;9.57;251.2900552;1383;38.30;1.10;1395.594475;1449
9;14.91;7.77;291.8933702;745;39.19;1.03;1427.172928;1479
10;13.66;7.36;268.6165746;703;39.98;1.24;1445.493923;1494
11;13.70;7.12;270.6895028;695;39.06;1.24;1412.155249;1447
12;15.37;8.01;300.4027624;1060;38.45;1.00;1403.082873;1451
13;14.49;7.66;284.5480663;683;40.25;1.00;1466.792265;1514
14;14.92;7.32;292.5486188;756;39.33;0.95;1435.756354;1470
15;14.76;7.69;289.780663;768;37.87;1.47;1372.351381;1466
16;11.93;7.41;235.4756906;675;40.92;1.44;1476.01989;1522
17;14.78;7.49;289.7767956;716;37.95;1.43;1370.831492;1418
18;11.35;8.07;225.6392265;1056;35.64;1.51;1294.99558;1429
19;10.71;7.17;213.2138122;708;40.23;1.01;1472.044199;1509
20;12.28;8.22;242.3303867;675;43.02;1.31;1556.70221;1604
21;11.23;7.48;222.6033149;678;44.00;1.17;1590.812155;1634
22;11.56;7.29;228.9453039;681;33.01;3.40;1198.481768;1577
23;11.26;7.73;223.1734807;662;43.26;0.98;1575.41105;1625
24;12.26;9.28;241.5966851;1085;48.04;1.65;1737.023204;1875
25;10.98;7.47;217.7458564;680;45.45;1.76;1646.226519;1725
26;11.34;7.39;225.138674;716;33.23;1.03;1205.608287;1253
27;11.89;7.91;234.9436464;694;32.75;1.46;1189.760221;1246
28;11.62;7.85;229.2176796;716;32.29;0.96;1170.119337;1217
29;10.92;6.83;217.1381215;675;31.83;1.40;1155.633702;1201
30;11.64;7.93;229.1745856;683;33.15;1.11;1199.450276;1248
31;11.42;7.69;226.281768;679;32.30;0.95;1182.741989;1217
32;11.83;8.15;232.9337017;681;32.77;1.34;1189.366298;1240
33;11.53;8.04;228.8292818;1008;20.65;1.69;757.1657459;896
34;11.28;7.98;223.1922652;713;31.21;1.55;1142.637569;1219
35;11.95;8.05;235.8270718;679;33.06;1.24;1199.124862;1244
36;12.37;8.73;243.9353591;1062;31.09;1.50;1126.450829;1192
37;12.07;7.72;238.6828729;705;30.86;1.42;1121.81326;1162
38;12.45;8.04;245.0701657;714;32.33;0.97;1188.225967;1221
39;11.59;7.84;229.178453;670;31.70;1.46;1151.560773;1187
40;11.64;8.04;229.8303867;670;30.86;1.47;1122.037017;1160
41;11.90;8.81;234.6248619;1065;32.18;1.07;1175.768508;1312
42;12.19;8.12;241.0524862;683;33.75;1.10;1221.555801;1270
43;11.61;7.94;229.7259669;690;31.54;1.13;1157.30442;1217
44;12.11;7.93;238.4812155;683;31.17;1.11;1145.060773;1200
45;12.88;8.79;253.5198895;705;31.09;1.20;1133.951381;1188
46;12.37;8.66;243.7082873;797;32.88;1.26;1191.221547;1240
47;11.55;7.89;228.2972376;776;30.89;1.22;1119.091713;1163
48;11.92;8.76;235.0911602;1229;32.28;0.96;1176.551934;1211
49;11.56;7.37;229.3127072;686;32.04;1.15;1161.7;1206
50;11.51;7.63;227.3922652;674;31.62;1.61;1149.320994;1195
51;12.43;8.27;244.8635359;735;30.80;1.38;1124.348066;1182
