Time;CPU Média;RAM Média;CPU Desvio Padrão;CPU Desvio Sup;CPU Desvio Inf;RAM Desvio Padrão;RAM Desvio Sup;RAM Desvio Inf
0;5.6;25.9;2.2;6.7;4.5;10.9;31.35;20.45
30;5.5;25.9;2.2;6.6;4.4;10.9;31.35;20.45
60;5.6;25.9;2.2;6.7;4.5;10.9;31.35;20.45
90;5.9;25.9;3.1;7.45;4.35;11;31.4;20.4
120;6.4;25.9;4;8.4;4.4;11;31.4;20.4
180;19.6;26.4;14.9;27.05;12.15;10.7;31.75;21.05
210;26.8;26.7;13.9;33.75;19.85;10.5;31.95;21.45
240;18.5;28.8;13.7;25.35;11.65;9.8;33.7;23.9
270;15.6;29.4;12.2;21.7;9.5;9.4;34.1;24.7
300;12.2;30.7;9.9;17.15;7.25;9.5;35.45;25.95
360;11.2;31.9;8.3;15.35;7.05;9.1;36.45;27.35
420;11.5;31.9;8.7;15.85;7.15;9.2;36.5;27.3
480;9.5;32.4;4.9;11.95;7.05;8.9;36.85;27.95
540;9.3;32.4;4;11.3;7.3;8.9;36.85;27.95
600;9.3;32.6;3.8;11.2;7.4;9;37.1;28.1
