Node Number;0;30;60;90;120;180;210;240;270;300;360;420;480;540;600;Total Geral;Media;Pico;Desvio_Padrao;Estabilizacao
Node 1;2 ;2 ;2 ;3 ;4 ;22 ;33 ;20 ;14 ;8 ;6 ;6 ;3 ;3 ;2.90 ;9 ;9 ;33 ;13 ;0.30 
Node 2;4 ;4 ;4 ;4 ;4 ;20 ;29 ;22 ;18 ;10 ;8 ;8 ;5 ;5 ;4.40 ;10 ;10 ;29 ;11 ;0.50 
Node 3;2 ;2 ;2 ;6 ;7 ;31 ;46 ;28 ;25 ;22 ;20 ;21 ;16 ;16 ;16.20 ;17 ;17 ;46 ;18 ;4.90 
Node 4;1 ;1 ;1 ;1 ;1 ;19 ;26 ;16 ;14 ;11 ;9 ;10 ;8 ;8 ;7.10 ;9 ;9 ;26 ;11 ;4.10 
Node 5;2 ;2 ;2 ;2 ;3 ;27 ;39 ;25 ;22 ;17 ;17 ;17 ;14 ;15 ;13.90 ;15 ;15 ;39 ;15 ;4.40 
Node 6;1 ;1 ;1 ;2 ;2 ;19 ;28 ;18 ;14 ;9 ;9 ;9 ;7 ;7 ;6.80 ;9 ;9 ;28 ;11 ;3.60 
Node 7;6 ;6 ;6 ;7 ;7 ;23 ;31 ;18 ;15 ;13 ;8 ;8 ;8 ;8 ;8.30 ;11 ;11 ;31 ;10 ;2.10 
Node 8;6 ;6 ;6 ;7 ;7 ;12 ;21 ;20 ;14 ;11 ;12 ;12 ;10 ;10 ;10.30 ;11 ;11 ;21 ;8 ;1.60 
Node 9;7 ;7 ;7 ;7 ;10 ;19 ;23 ;17 ;16 ;15 ;13 ;14 ;11 ;11 ;11.90 ;13 ;13 ;23 ;9 ;3.00 
Node 10;8 ;8 ;7 ;7 ;8 ;16 ;22 ;17 ;15 ;13 ;13 ;17 ;17 ;12 ;10.60 ;13 ;13 ;22 ;10 ;3.60 
Node 11;8 ;8 ;8 ;7 ;7 ;22 ;30 ;21 ;20 ;18 ;14 ;14 ;11 ;11 ;10.30 ;14 ;14 ;30 ;10 ;2.90 
Node 12;8 ;8 ;8 ;8 ;9 ;23 ;31 ;20 ;15 ;12 ;14 ;14 ;11 ;11 ;10.80 ;13 ;13 ;31 ;9 ;3.20 
Node 13;7 ;7 ;7 ;8 ;8 ;19 ;19 ;14 ;13 ;9 ;9 ;9 ;9 ;9 ;9.10 ;10 ;10 ;19 ;7 ;2.30 
Node 14;7 ;7 ;7 ;7 ;7 ;19 ;22 ;14 ;14 ;11 ;12 ;12 ;10 ;10 ;9.70 ;11 ;11 ;22 ;8 ;2.90 
Node 15;8 ;8 ;8 ;8 ;8 ;19 ;24 ;17 ;14 ;13 ;11 ;11 ;11 ;11 ;10.90 ;12 ;12 ;24 ;8 ;3.30 
Node 16;24 ;23 ;23 ;24 ;24 ;36 ;40 ;32 ;29 ;26 ;27 ;27 ;25 ;26 ;25.10 ;27 ;27 ;40 ;8 ;1.30 
Node 17;8 ;8 ;7 ;8 ;8 ;19 ;27 ;22 ;19 ;14 ;13 ;13 ;11 ;11 ;10.90 ;13 ;13 ;27 ;10 ;3.30 
Node 18;6 ;6 ;6 ;6 ;7 ;12 ;17 ;12 ;8 ;9 ;11 ;11 ;8 ;8 ;8.30 ;9 ;9 ;17 ;7 ;2.50 
Node 19;6 ;6 ;6 ;6 ;6 ;20 ;23 ;15 ;15 ;10 ;11 ;11 ;8 ;8 ;8.60 ;11 ;11 ;23 ;9 ;1.90 
Node 20;6 ;6 ;6 ;6 ;6 ;20 ;26 ;19 ;17 ;10 ;10 ;10 ;7 ;7 ;7.50 ;11 ;11 ;26 ;10 ;2.00 
Node 21;5 ;6 ;6 ;6 ;6 ;17 ;26 ;21 ;13 ;7 ;11 ;12 ;8 ;7 ;7.60 ;11 ;11 ;26 ;10 ;2.40 
Node 22;6 ;6 ;6 ;6 ;7 ;20 ;26 ;20 ;15 ;9 ;10 ;10 ;10 ;10 ;9.70 ;11 ;11 ;26 ;10 ;2.00 
Node 23;6 ;6 ;6 ;6 ;6 ;20 ;27 ;14 ;14 ;15 ;8 ;8 ;9 ;9 ;8.60 ;11 ;11 ;27 ;9 ;1.90 
Node 24;6 ;6 ;6 ;6 ;6 ;15 ;24 ;20 ;17 ;13 ;10 ;10 ;7 ;7 ;7.80 ;11 ;11 ;24 ;10 ;1.90 
Node 25;6 ;6 ;6 ;6 ;9 ;20 ;26 ;17 ;14 ;13 ;11 ;11 ;10 ;9 ;8.40 ;11 ;11 ;26 ;10 ;2.00 
