Node Number;Resource Type;0;30;60;90;120;180;210;240;270;300;360;420;480;540;600;Total_Geral;Media;Pico;Desvio_Padrao;Estabilizacao
Node 1;CPU;2.00;2.00;2.00;3.00;4.00;22.00;33.00;20.00;14.00;8.00;6.00;6.00;3.00;3.00;2.90 ;9.00;9.00;33.00;13.00;0.30 
Node 2;CPU;4.00;4.00;4.00;4.00;4.00;20.00;29.00;22.00;18.00;10.00;8.00;8.00;5.00;5.00;4.40 ;10.00;10.00;29.00;11.00;0.50 
Node 3;CPU;2.00;2.00;2.00;6.00;7.00;31.00;46.00;28.00;25.00;22.00;20.00;21.00;16.00;16.00;16.20 ;17.00;17.00;46.00;18.00;4.90 
Node 4;CPU;1.00;1.00;1.00;1.00;1.00;19.00;26.00;16.00;14.00;11.00;9.00;10.00;8.00;8.00;7.10 ;9.00;9.00;26.00;11.00;4.10 
Node 5;CPU;2.00;2.00;2.00;2.00;3.00;27.00;39.00;25.00;22.00;17.00;17.00;17.00;14.00;15.00;13.90 ;15.00;15.00;39.00;15.00;4.40 
Node 6;CPU;1.00;1.00;1.00;2.00;2.00;19.00;28.00;18.00;14.00;9.00;9.00;9.00;7.00;7.00;6.80 ;9.00;9.00;28.00;11.00;3.60 
Node 7;CPU;6.00;6.00;6.00;7.00;7.00;23.00;31.00;18.00;15.00;13.00;8.00;8.00;8.00;8.00;8.30 ;11.00;11.00;31.00;10.00;2.10 
Node 8;CPU;6.00;6.00;6.00;7.00;7.00;12.00;21.00;20.00;14.00;11.00;12.00;12.00;10.00;10.00;10.30 ;11.00;11.00;21.00;8.00;1.60 
Node 9;CPU;7.00;7.00;7.00;7.00;10.00;19.00;23.00;17.00;16.00;15.00;13.00;14.00;11.00;11.00;11.90 ;13.00;13.00;23.00;9.00;3.00 
Node 10;CPU;8.00;8.00;7.00;7.00;8.00;16.00;22.00;17.00;15.00;13.00;13.00;17.00;17.00;12.00;10.60 ;13.00;13.00;22.00;10.00;3.60 
Node 11;CPU;8.00;8.00;8.00;7.00;7.00;22.00;30.00;21.00;20.00;18.00;14.00;14.00;11.00;11.00;10.30 ;14.00;14.00;30.00;10.00;2.90 
Node 12;CPU;8.00;8.00;8.00;8.00;9.00;23.00;31.00;20.00;15.00;12.00;14.00;14.00;11.00;11.00;10.80 ;13.00;13.00;31.00;9.00;3.20 
Node 13;CPU;7.00;7.00;7.00;8.00;8.00;19.00;19.00;14.00;13.00;9.00;9.00;9.00;9.00;9.00;9.10 ;10.00;10.00;19.00;7.00;2.30 
Node 14;CPU;7.00;7.00;7.00;7.00;7.00;19.00;22.00;14.00;14.00;11.00;12.00;12.00;10.00;10.00;9.70 ;11.00;11.00;22.00;8.00;2.90 
Node 15;CPU;8.00;8.00;8.00;8.00;8.00;19.00;24.00;17.00;14.00;13.00;11.00;11.00;11.00;11.00;10.90 ;12.00;12.00;24.00;8.00;3.30 
