NAME     CPU(cores)   CPU%   MEMORY(bytes)   MEMORY%     
node1    481m         3%     3089Mi          20%         
node10   140m         7%     1232Mi          34%         
node11   275m         14%    1396Mi          38%         
node12   276m         14%    1646Mi          45%         
node13   173m         9%     1661Mi          46%         
node14   157m         8%     691Mi           19%         
node15   166m         8%     866Mi           24%         
node16   147m         7%     837Mi           23%         
node17   163m         8%     863Mi           24%         
node18   206m         10%    883Mi           24%         
node19   214m         11%    973Mi           27%         
node2    740m         4%     2624Mi          17%         
node20   203m         10%    991Mi           27%         
node21   129m         6%     993Mi           27%         
node22   212m         11%    1010Mi          28%         
node23   189m         9%     1038Mi          28%         
node24   129m         6%     1011Mi          28%         
node25   211m         11%    1094Mi          30%         
node26   130m         6%     1316Mi          36%         
node27   136m         7%     1408Mi          39%         
node28   125m         6%     1354Mi          37%         
node29   122m         6%     1359Mi          37%         
node3    1611m        20%    4076Mi          53%         
node30   127m         6%     1355Mi          37%         
node31   128m         6%     1048Mi          29%         
node32   123m         6%     1381Mi          38%         
node33   129m         6%     1589Mi          44%         
node34   126m         6%     1498Mi          41%         
node35   120m         6%     1119Mi          31%         
node36   119m         6%     1360Mi          37%         
node37   110m         5%     1247Mi          34%         
node38   116m         6%     1484Mi          41%         
node39   123m         6%     1032Mi          28%         
node4    513m         6%     1860Mi          24%         
node40   112m         5%     1253Mi          34%         
node41   122m         6%     1271Mi          35%         
node42   123m         6%     1444Mi          40%         
node43   121m         6%     1068Mi          29%         
node44   114m         6%     1316Mi          36%         
node45   122m         6%     1283Mi          35%         
node46   125m         6%     1236Mi          34%         
node47   110m         5%     1224Mi          34%         
node49   126m         6%     1306Mi          36%         
node5    1214m        15%    3420Mi          44%         
node50   111m         5%     1320Mi          36%         
node51   130m         6%     1012Mi          28%         
node52   123m         6%     1394Mi          38%         
node53   116m         6%     1345Mi          37%         
node6    642m         8%     2363Mi          31%         
node7    227m         11%    1659Mi          46%         
node8    208m         10%    1554Mi          43%         
node9    261m         13%    1553Mi          43%         
node48   <unknown>                           <unknown>               <unknown>               <unknown>               
